Timeline Bookmarks
Date, Time, Position, Description, Colour, Type, TimeCode
02/12/2020, 17:36:10.764, 88029, VFX - Fade In. Digitally create a tilt down, matte top to look like elevator. See Chase file for reference., 0, Composition, 01:01:07:21
02/12/2020, 17:36:10.764, 88497, VFX - RESPEED 200% TO 100% TO 200% - DYONTE MALIKA CAPOEIRA, 1, Composition, 01:01:27:09
02/12/2020, 17:36:10.764, 97448, VFX - GT3001_SC47_Raj_CanWeTalk_V2.mov, 2, Composition, 01:07:40:08
02/12/2020, 17:36:10.764, 97522, VFX - GT3001_SC47_Evan_CanWeTalk_V2.mov, 3, Composition, 01:07:43:10
02/12/2020, 17:36:10.764, 102028, VFX - GT3001_SC38_Callie_ShouldWeTalk_V2.mov, 5, Composition, 01:10:51:04
02/12/2020, 17:36:10.764, 102274, GT3001_SC38_ DA Rep-Is This Callie Adams Foster?, 4, Composition, 01:11:01:10
02/12/2020, 17:36:10.765, 102343, GT3001_SC38_ DA Rep-I'm calling from the Assistant District Attorney's office. We'd like to speak with you regarding the recent breaking and entering incident that occured at your apartment involving Jerod Murphy., 6, Composition, 01:11:04:07
02/12/2020, 17:36:10.765, 102564, GT3001_SC38_ DA Rep-Not as the complainant as a witness. Someone else is pressing charges., 7, Composition, 01:11:13:12
